Language information,,,,Stress system information,,Stress correlate information,,,,,Phonological uses of suprasegmentals,,References
,,,,,,Reported correlate,,,,,,,
Language name,Language family,Secondary family,ISO 639-3 code,Stress system type,Primary stress edge,Duration,Pitch,Intensity,Primary correlate,Vowel reduction,Duration = contrastive,Pitch = contrastive,Sources
Maquiritari/Ye'kuana/Dekwana,Cariban,Guianan Carib,mch,1,1,0,1,1,,0,1,0,Hall (1988)
Masbatenyo,Austronesian,Malayo-Polynesian,msb,0,1,1,1,1,1,0,1,0,Rosero (2014)
Matses,Panoan,Mayoruna,mcf,1,0,1,1,0,,0,3,0,Fleck (2003)
Mauwake,Trans–New Guinea,Madang,mhl,0,0,1,1,1,,0,1,0,Berghäll (2010)
Menggwa Dla,Senagi,Dera,kbv,1,1,0,0,1,3,0,0,0,de Sousa (2006)
Menominee,Algonquin,Central,mez,1,0,1,1,0,,1,1,0,"Miner (1979), Milligan (2005)"
Mixe (Ayutla),Mixe-Zoque,Mixean,miy,1,1,0,1,1,,1,1,0,Romero-Méndez (2009)
Mocho,Mayan,Kanjobalan-Chujean,mhc,0,1,1,1,0,2,0,1,1,Palosaari (2011)
Moghol,Mongolic,Mogholi,mhj,0,1,0,1,0,2,,0,0,"Weiers (2003), Svantesson (2005)"
Mohawk,Iroquoian,Northern,moh,0,1,0,1,1,2,1,3,0,"Michelson (1983), Hopkins (1988)"
Mongghul (Karlong),Mongolic,Shirongolic,mjg,0,1,0,1,1,,0,1,0,Faehndrich (2007)
Movima,Isolate,,mzp,0,1,0,1,0,2,,1,0,Haude (2006)
"Nahuatl, Balsas",Uto-Aztecan,Southern Uto-Aztecan,ngu,0,1,1,0,1,,0,0,1,Guion et al. (2010)
Nambikuara,Nambikwaran,Nambikwara,nab,0,0,1,1,1,1,0,0,1,"Lowe (1999), Kroeker (2001)"
Nepali,Indo-European,Sanskrit,nep,0,1,1,1,1,,1,0,0,Acharya (1991)
Ngigua,Oto-Manguean,Popolocan,coz,0,1,1,0,0,1,,3,1,Stark Campbell (2011)
Nhanda,Australian,Pama-Nyungan,nha,1,0,1,0,0,,1,1,0,Blevins (2001)
Nisenan,Maiduan,Nisenan,nsz,0,0,0,1,1,,0,1,0,"Paul (1967), Eatough (1999)"
Norwegian,Indo-European,Germanic,nor,1,1,1,0,1,,0,3,1,"Kristoffersen (2000), Lunden (field data)"
Nubi,Arabic Creole,,kcn,0,1,1,1,1,,1,0,1,Wellens (2005)
Onondaga,Iroquoian,Northern,ono,0,1,0,0,1,3,0,1,0,"Chafe (1970), Michelson (1983)"
Páez,Paezan,Páez,pbb,0,,0,1,0,2,0,1,0,"Gerdel (1973, 1985)"
Paiute (Northern),Uto-Aztecan,Northern,pao,1,0,1,1,0,1,0,1,0,"Snapp et al. (1982), Thornes (2003)"
Palula,Indo-European,Indo-Aryan,phl,0,1,0,1,1,2,1,1,0,Liljegren (2008)
Pashto,Indo-European,Indo-Iranian,pus,1,1,0,1,1,,0,0,0,Tegey & Robson (1996)
Pilagá,Guaicuruan,Southern,plg,0,0,1,1,0,,0,1,0,Vidal (2001)
Pintupi,Australian,Pama-Nyungan,piu,1,0,1,1,1,3,0,2,0,Hansen & Hansen (1969)
Pirahã,Mura,,myp,0,2,1,0,1,,0,1,1,Everett (1998)
Plang,Austroasiatic,Khasi–Palaungic,blr,0,1,1,0,1,,,0,1,Giaphong (2004)
Polish,Indo-European,Slavic,pol,1,1,1,1,1,3,0,0,0,"Crosswhite (2001), Swan (2003), ?ukaszewicz & Rozborski (2008), Newlin-?ukowicz (2012), ?ukaszewicz (2015)"
Pomo (Eastern),Hokan,Pomoan,peb,1,0,0,1,1,2,0,2,0,McLendon (1975)
Pomo (Southern),Hokan,Pomoan,peq,1,1,0,1,0,2,0,1,0,"Walker (2008, 2013)"
Punjabi,Indo-European,Indo-Aryan,"pan, pnb",0,,1,1,0,,0,1,1,Bhatia (1993)
Q'eqchi' (K'ekchi),Mayan,Quichean–Mamean,kek,0,1,0,1,1,,0,1,0,"Berinstein (1979), Wagner (2014), Bennett (2016)"
Quechua (South Conchucos),Quechuan,,que,1,1,1,1,1,2,0,1,0,Hintz (2006)
Saanich,Salishan,Central Salish,str,1,1,1,1,0,,1,0,0,Leonard (2007)
Sahaptin (Yakima),Penutian,Plateau Penutian,yak,0,1,0,1,1,,0,1,0,"Hargus & Beavert (2005), Jansen (2010)"
Savosavo,Central Solomons,Savosavo,svs,2,1,1,0,1,,0,0,0,Wegener (2008)
Shuswap,Salishan,Interior Salish,shs,0,1,0,1,1,,0,0,0,Gibson (1973)
Sidaama (Sidamo),Afro-Asiatic,Cushitic,sid,0,1,1,1,0,2,0,2,0,"Moreno (1940), Kawachi (2007)"
Spanish (European),Indo-European,Romance,spa,0,1,0,1,0,2,0,0,0,"Dogil & Williams (1999), Crosswhite (2001), Llisterri et al. (2003), Bradley & Mackenzie (2004), Vogel et al. (2016)"
Tagalog,Austronesian,Malayo-Polynesian,tgl,0,1,1,1,1,,0,0,0,"Schachter & Otanes (1972), Llamzon (1976), French (1991)"
Tarahumara,Uto-Aztecan,Tarahumaran,"tar, thh, tcu, twr, tac",0,0,1,0,0,1,1,0,1,Caballero (2008)
Tepehua (Huehuetla),Totonacan,Tepiman,tee,1,1,1,,,1,0,1,0,Kung (2007)
Thai,Tai–Kadai,Tai,tha,0,1,1,1,0,1,1,2,1,"ApiluckTumtavitikul (1996), Potisuk et al. (1996)"
Tongan,Austronesian,Malayo-Polynesian,ton,1,1,1,1,1,2,0,1,0,"Churchward (1953), Garellek & White (2012)"
Toratán,Austronesian,Malayo-Polynesian,rth,0,1,1,1,0,2,0,1,0,Himmelmann & Wolff (1999)
Totonac (Misantla),Totonacan,Totonac,tlc,0,1,1,,1,,0,1,0,"MacKay (1994), van der Hulst et al. (2010)"
Trio/Tiriyó,Cariban,Guianan Carib,tri,1,1,1,0,0,1,0,1,1,Carlin (2004)
Trumai,Isolate,,tpy,0,1,0,1,1,,,0,0,Guirardello (1999)
Tsakhur,Northeast Caucasian,Lezgic,tkr,0,0,0,1,0,2,0,1,0,"Comrie (1981), Schulze (1997)"
Tukang Besi,Austronesian,Malayo-Polynesian,"khc, bhq",1,1,1,1,0,2,0,1,0,Donohue (1999)
Turkish,Turkic,Common Turkic,tur,0,1,0,1,1,2,0,0,0,"Levi (2005), Vogel et al. (2016)"
Tuvaluan,Austronesian,Malayo-Polynesian,tvl,1,1,1,1,1,,0,1,0,Besnier (2000)
Upper Chehalis,Salishan,Coast,cjh,0,,0,1,1,2,0,2,0,Kinkade (1963)
Uyghur,Turkic,Common Turkic,uig,0,1,0,1,1,2,1,3,0,Hahn (1991)
Waima,Austronesian,Malayo-Polynesian,rro,0,1,1,1,1,,0,3,0,"Kim & Kim (1998), Kim (2002)"
Wardaman,Australian,Gunwingguan,wrr,2,1,0,1,1,,0,1,0,Merlan (1994)
Wari',Chapacuran,,pav,0,1,0,1,1,,0,0,0,Everett & Kern (1997)
Warlpiri,Australian,Pama-Nyungan,wbp,1,0,1,1,1,,0,2,0,Nash (1980)
Welsh,Indo-European,Celtic,cym,0,1,1,0,0,1,0,2,0,Dogil & Williams (1999)
Wik-Mungkan,Australian,Pama-Nyungan,wim,1,0,1,1,1,,1,1,0,"Sayers (1976), Kilham (1986)"
Witsuwit'en,Dené–Yeniseian,Athabaskan,bcr,1,0,1,1,1,,0,1,0,Hargus (2011)
Wyandot,Iroquoian,Northern,wya,0,1,0,1,0,2,,0,0,"Kopris (2001), Julian (2010)"
Yaruro,unclassified,,yae,0,1,1,1,0,,0,0,0,"Obregón Muñoz (1981), Mosonyi et al. (2000), Wetzels & Meira (2010)"
Yidin,Australian,Pama-Nyungan,yii,1,1,0,0,1,3,1,1,0,Dixon (1977)
Yimas,Ramu-Lower Sepik,,yee,1,0,1,1,0,,0,0,0,Foley (1991)
Yuchi/Euchee,Isolate,,yuc,2,1,0,0,1,3,0,1,0,Linn (2001)
Yupik (Siberian),Eskimo–Aleut,Eskimo,ess,1,0,1,0,0,1,0,1,0,"Krauss (1975), Jacobson (1977), Rice (2010)"
